url,id_inmueble,precio,titulo,tipo_inmueble,calle,colonia,alcaldia,cp,recamaras,banos,m2_construidos,estacionamientos,antiguedad,amenidades,precio_m2_colonia,latitud,longitud,fecha_extraccion
https://propiedades.com/inmuebles/departamento-en-venta-penthouse-con-roof-privado-en-la-colonia-cuauhtemoc-cuauhtemoc-df-30554268#pagina=24&tipos=residencial-venta&area=df&pos=36,29391089.0,8890960.0,"Se vende departamento PENTHOUSE CON ROOF PRIVADO EN LA COLONIA CUAUHTEMOC, Colonia Cuauhtémoc, C.P. 06500",Departamento,La Colonia Cuauhtemoc,Cuauhtémoc,Cuauhtémoc,6500.0,2.0,2.0,40.0,2.0,2.0,['Cisterna'],60120.0,19.436978,-99.153329,2025-11-30 08:37:31
https://propiedades.com/inmuebles/casa-en-venta-avellanos-bosques-de-las-lomas-df-30349668#pagina=18&tipos=residencial-venta&area=df&pos=38,30286331.0,18100000.0,"Se vende casa en Avellanos, Colonia Bosques de las Lomas, C.P. 05120",Casa,Avellanos,Bosques de las Lomas,Cuajimalpa,5120.0,3.0,3.0,0.0,4.0,,[],42970.0,19.388115,-99.251801,2025-11-30 08:37:46
https://propiedades.com/inmuebles/departamento-en-venta-avenida-cuauhtemoc-876-876-narvarte-poniente-df-30105444#pagina=27&tipos=residencial-venta&area=df&pos=12,29887284.0,5500000.0,"Se vende departamento Avenida Cuauhtémoc 876 #876, Colonia Narvarte Poniente, C.P. 03020",Departamento,,Narvarte Poniente,Benito Juárez,3020.0,3.0,2.0,,1.0,3.0,['Cisterna'],41310.0,19.392226,-99.157707,2025-11-30 08:38:04
https://propiedades.com/inmuebles/departamento-en-venta-av-revolucion-san-jose-insurgentes-df-30466560#pagina=16&tipos=residencial-venta&area=df&pos=40,30435554.0,4680000.0,"Venta departamento en AV REVOLUCION, Colonia San José Insurgentes, C.P. 03900",Departamento,Av Revolucion,San José Insurgentes,Desconocida,3900.0,2.0,2.0,0.0,1.0,11.0,[],47820.0,,,2025-11-30 08:38:19
https://propiedades.com/inmuebles/departamento-en-venta-narvarte-oriente-03023-ciudad-de-mexico-cdmx-mexico-unidad-narvarte-imss-df-30378672#pagina=11&tipos=residencial-venta&area=df&pos=13,30537953.0,5503000.0,"Venta de departamento Narvarte Oriente, 03023 Ciudad de México, CDMX, México, Colonia Unidad Narvarte IMSS, C.P. 03023",Departamento,,Unidad Narvarte Imss,Benito Juárez,3023.0,2.0,2.0,84.0,2.0,1.0,['Cisterna'],41310.0,19.397246,-99.14871,2025-11-30 08:38:33
https://propiedades.com/inmuebles/departamento-en-venta-dr-jose-terres-52-depto-401-doctores-cuauhtemoc-ciudad-de-mexico-cdmx-cp-06720-doctores-df-30202076#tipos=residencial-venta&area=df&pos=41,30289255.0,3077500.0,"Se vende departamento Dr. José Terres 52, Depto 401, Doctores, Cuauhtémoc, Ciudad de México, CDMX, C.p 06720., Colonia Doctores, C.P. 06720",Departamento,"Cuauhtémoc, Ciudad de México",Doctores,Cuauhtémoc,6720.0,2.0,1.0,70.0,1.0,9.0,['Cisterna'],20910.0,19.424928,-99.153709,2025-11-30 08:38:48
https://propiedades.com/inmuebles/departamento-en-venta-av-instituto-politecnico-nacional-lindavista-norte-df-30553611#pagina=26&tipos=residencial-venta&area=df&pos=14,30296301.0,3664800.0,"Departamento disponible en venta en Av. Instituto Politécnico Nacional, Colonia Lindavista Norte, C.P. 07300",Departamento,,Lindavista Norte,Gustavo A. Madero,7300.0,3.0,2.0,40.0,,1.0,['Cisterna'],34430.0,19.505739,-99.148014,2025-11-30 08:39:15
https://propiedades.com/inmuebles/departamento-en-venta-portales-sur-df-30369108#pagina=16&tipos=residencial-venta&area=df&pos=24,28818824.0,5256000.0,"Departamento disponible en venta en , Colonia Portales Sur, C.P. 03300",Departamento,,Portales Sur,Benito Juárez,3300.0,2.0,2.0,146.0,2.0,,[],41970.0,19.361694,-99.148914,2025-11-30 08:39:32
https://propiedades.com/inmuebles/departamento-en-venta-algeciras-38-insurgentes-mixcoac-df-29224178#pagina=35&tipos=residencial-venta&area=df&pos=45,27477467.0,4390000.0,"Venta departamento en Algeciras #38, Colonia Insurgentes Mixcoac, C.P. 03920",Departamento,Algeciras #38,Insurgentes Mixcoac,Benito Juárez,3920.0,2.0,2.0,18.0,1.0,,"['Cisterna', 'Telefonía']",47820.0,19.372011,-99.181144,2025-11-30 08:39:48
https://propiedades.com/inmuebles/departamento-en-venta-desierto-de-los-leones-4602-tetelpan-alvaro-obregon-01700-ciudad-de-mexico-cdmx-4602-tetelpan-df-30537273#pagina=29&tipos=residencial-venta&area=df&pos=25,30158431.0,5490000.0,"Venta de departamento Desierto de los Leones 4602, Tetelpan, Álvaro Obregón, 01700 Ciudad de México, CDMX #4602, Colonia Tetelpan, C.P. 01700",Departamento,,Tetelpan,Álvaro Obregón,1700.0,3.0,2.0,200.0,2.0,15.0,[],41250.0,19.342242,-99.225708,2025-11-30 08:40:03
https://propiedades.com/inmuebles/departamento-en-venta-jaime-nuno-guadalupe-inn-01020-ciudad-de-mexico-cdmx-guadalupe-inn-df-30473056#pagina=14&tipos=residencial-venta&area=df&pos=16,29861629.0,3046600.0,"Venta de departamento en Jaime Nunó, Guadalupe Inn, 01020 Ciudad de México, CDMX, Colonia Guadalupe Inn, C.P. 01020",Departamento,Jaime Nunó,Guadalupe Inn,Desconocida,1020.0,3.0,1.0,38.0,,1.0,"['Cisterna', 'Telefonía', 'Aire acondicionado']",49840.0,,,2025-11-30 08:40:18
